ROW_ID,ITEMID,VPICU VARIABLE,LABEL,CATEGORY,UNITNAME,ABBREVIATION,DBSOURCE,LINKSTO,PARAM_TYPE,CONCEPTID,Msmts / hour,Total msmts,Patients with >1 msmt,% patients 100% missing,Mean,Stddev
1148,860,1126,ph,Venous pH,VBG's,,,carevue,chartevents,,,,,,,,
12741,220227,220227,pulse oximetry,Arterial O2 Saturation,Labs,%,SaO2,metavision,chartevents,Numeric,,,,,,,
4949,8498,220227,pulse oximetry,O2 sat [Post],,,,carevue,chartevents,,,,,,,,
12746,220277,220227,pulse oximetry,O2 saturation pulseoxymetry,Respiratory,%,SpO2,metavision,chartevents,Numeric,,,,,,,
14640,226862,220227,pulse oximetry,PA %O2 Saturation (PA Line),PA Line Insertion,%,PA %O2 Saturation (PA Line),metavision,chartevents,Numeric,,,,,,,
2137,5410,220227,pulse oximetry,Post ductal sat,,,,carevue,chartevents,,,,,,,,
4802,7811,220227,pulse oximetry,post ductal sat,,,,carevue,chartevents,,,,,,,,
2313,7910,220227,pulse oximetry,Post Ductal Sat,,,,carevue,chartevents,,,,,,,,
4080,6254,220227,pulse oximetry,Post-Ductal SaO2,,,,carevue,chartevents,,,,,,,,
4021,8208,220227,pulse oximetry,Postductal O2 Sat,,,,carevue,chartevents,,,,,,,,
1126,834,220227,pulse oximetry,SaO2,ABG's,,,carevue,chartevents,,,,,,,,
1663,4833,220227,pulse oximetry,SaO2 (post),,,,carevue,chartevents,,,,,,,,
599,646,220227,pulse oximetry,SpO2,,,,carevue,chartevents,,,,,,,,
14411,226545,226545,race,Race,ADT,,Race,metavision,,Text,,,,,,,
12738,220210,220210,respiratory rate,Respiratory Rate,Respiratory,insp/min,RR,metavision,chartevents,Numeric,,,,,,,
575,618,220210,respiratory rate,Respiratory Rate,,,,carevue,chartevents,,,,,,,,
2300,7884,220210,respiratory rate,RR,,,,carevue,chartevents,,,,,,,,
32,6,6,systolic blood pressure,ABP [Systolic],,,,carevue,chartevents,,,,,,,,
13687,225309,6,systolic blood pressure,ART BP Systolic,Routine Vital Signs,mmHg,ART BP Systolic,metavision,chartevents,Numeric,,,,,,,
12716,220050,6,systolic blood pressure,Arterial Blood Pressure systolic,Routine Vital Signs,mmHg,ABPs,metavision,chartevents,Numeric,,,,,,,
57,51,6,systolic blood pressure,Arterial BP [Systolic],,,,carevue,chartevents,,,,,,,,
4325,6701,6,systolic blood pressure,Arterial BP #2 [Systolic],,,,carevue,chartevents,,,,,,,,
929,3313,6,systolic blood pressure,BP Cuff [Systolic],,,,carevue,chartevents,,,,,,,,
13050,224167,6,systolic blood pressure,Manual Blood Pressure Systolic Left,Routine Vital Signs,mmHg,Manual BPs L,metavision,chartevents,Numeric,,,,,,,
14619,227243,6,systolic blood pressure,Manual Blood Pressure Systolic Right,Routine Vital Signs,mmHg,Manual BPs R,metavision,chartevents,Numeric,,,,,,,
408,442,6,systolic blood pressure,Manual BP [Systolic],,,,carevue,chartevents,,,,,,,,
419,455,6,systolic blood pressure,NBP [Systolic],,,,carevue,chartevents,,,,,,,,
12734,220179,6,systolic blood pressure,Non Invasive Blood Pressure systolic,Routine Vital Signs,mmHg,NBPs,metavision,chartevents,Numeric,,,,,,,
4298,6643,6643,temperature,Temp Rectal,,,,carevue,chartevents,,,,,,,,
2818,3654,6643,temperature,Temp Rectal [F],,,,carevue,chartevents,,,,,,,,
2819,3655,6643,temperature,Temp Skin [C],,,,carevue,chartevents,,,,,,,,
627,676,6643,temperature,Temperature C,,,,carevue,chartevents,,,,,,,,
628,677,6643,temperature,Temperature C (calc),,,,carevue,chartevents,,,,,,,,
12758,223762,6643,temperature,Temperature Celsius,Routine Vital Signs,?C,Temperature C,metavision,chartevents,Numeric,,,,,,,
629,678,6643,temperature,Temperature F,,,,carevue,chartevents,,,,,,,,
630,679,6643,temperature,Temperature F (calc),,,,carevue,chartevents,,,,,,,,
12757,223761,6643,temperature,Temperature Fahrenheit,Routine Vital Signs,?F,Temperature F,metavision,chartevents,Numeric,,,,,,,
8713,43576,43576,urine output,24hr Urine cc/kg/hr,,,,carevue,outputevents,,,,,,,,
7301,43372,43576,urine output,24hr urine output,,,,carevue,outputevents,,,,,,,,
7303,43374,43576,urine output,URINE CC?KG?HR,,,,carevue,outputevents,,,,,,,,
11087,43333,43576,urine output,urine cc's/k/hr,,,,carevue,outputevents,,,,,,,,
8922,43856,43576,urine output,urine cc/k/ghr,,,,carevue,outputevents,,,,,,,,
7350,43431,43576,urine output,Urine cc/k/hr,,,,carevue,outputevents,,,,,,,,
8726,43589,43576,urine output,urine cc/k/hr,,,,carevue,outputevents,,,,,,,,
11092,43347,43576,urine output,urine cc/kg,,,,carevue,outputevents,,,,,,,,
7155,43171,43576,urine output,URINE CC/KG/HR,,,,carevue,outputevents,,,,,,,,
7302,43373,43576,urine output,urine cc/kg/hr,,,,carevue,outputevents,,,,,,,,
7408,43522,43576,urine output,Urine cc/kg/hr,,,,carevue,outputevents,,,,,,,,
11536,43654,43576,urine output,urine o/p cc/kg/hr,,,,carevue,outputevents,,,,,,,,
11273,43053,43576,urine output,URINE OUT,,,,carevue,outputevents,,,,,,,,
8893,43811,43576,urine output,urine out: cc/k/hr,,,,carevue,outputevents,,,,,,,,
8894,43812,43576,urine output,urine out:cc/k/hr,,,,carevue,outputevents,,,,,,,,
7309,43380,43576,urine output,urine outpt cc/kg/hr,,,,carevue,outputevents,,,,,,,,
8419,44706,43576,urine output,urine output,,,,carevue,outputevents,,,,,,,,
11529,43638,43576,urine output,urine output cc/k/hr,,,,carevue,outputevents,,,,,,,,
9707,45304,43576,urine output,Urine output cc/k/hr,,,,carevue,outputevents,,,,,,,,
7279,43348,43576,urine output,urine output/kg,,,,carevue,outputevents,,,,,,,,
7294,43365,43576,urine output,urine output/kg/hr,,,,carevue,outputevents,,,,,,,,
8761,43633,43576,urine output,"""Urine","cc/kg/day""",,,,carevue,outputevents,,,,,,,,
7284,43355,43576,urine output,urine/k/hr,,,,carevue,outputevents,,,,,,,,
7157,43173,43576,urine output,urinecc/kg/hr,,,,carevue,outputevents,,,,,,,,
7308,43379,43576,urine output,URINECC/KG/HR,,,,carevue,outputevents,,,,,,,,
14391,226512,226512,weight (DS 1.0 and 2.1),Admission Weight (Kg),General,kg,Admission Weight (Kg),metavision,chartevents,Numeric,,,,,,,
14401,226531,226512,weight (DS 1.0 and 2.1),Admission Weight (lbs.),General,None,Admission Weight (lbs.),metavision,chartevents,Numeric,,,,,,,
13420,224639,224639,weight (DS 2.1 only),Daily Weight,General,kg,Daily Weight,metavision,chartevents,Numeric,,,,,,,
688,763,224639,weight (DS 2.1 only),Daily Weight,,,,carevue,chartevents,,,,,,,,
2849,3693,224639,weight (DS 2.1 only),Weight Kg,,,,carevue,chartevents,,,,,,,,
15338,228151,228151,ZZZZ diastolic blood pressure,Aortic Pressure Signal - Diastolic,Impella,None,Aortic Pressure Signal - Diastolic,metavision,chartevents,Numeric,,,,,,,
4954,8503,228151,ZZZZ diastolic blood pressure,BP Left Arm [Diastolic],,,,carevue,chartevents,,,,,,,,
4955,8504,228151,ZZZZ diastolic blood pressure,BP Left Leg [Diastolic],,,,carevue,chartevents,,,,,,,,
4956,8505,228151,ZZZZ diastolic blood pressure,BP PAL [Diastolic],,,,carevue,chartevents,,,,,,,,
4957,8506,228151,ZZZZ diastolic blood pressure,BP Right Arm [Diastolic],,,,carevue,chartevents,,,,,,,,
4958,8507,228151,ZZZZ diastolic blood pressure,BP Right Leg [Diastolic],,,,carevue,chartevents,,,,,,,,
4959,8508,228151,ZZZZ diastolic blood pressure,BP UAC [Diastolic],,,,carevue,chartevents,,,,,,,,
4907,8444,228151,ZZZZ diastolic blood pressure,Orthostat BP sitting [Diastolic],,,,carevue,chartevents,,,,,,,,
4908,8445,228151,ZZZZ diastolic blood pressure,OrthostatBP standing [Diastolic],,,,carevue,chartevents,,,,,,,,
4909,8446,228151,ZZZZ diastolic blood pressure,Orthostatic BP lying [Diastolic],,,,carevue,chartevents,,,,,,,,
14353,226092,228151,ZZZZ diastolic blood pressure,Orthostatic BPd lying,Routine Vital Signs,mmHg,Orthostatic BPd lying,metavision,chartevents,Numeric,,,,,,,
14354,226094,228151,ZZZZ diastolic blood pressure,Orthostatic BPd sitting,Routine Vital Signs,mmHg,Orthostatic BPd sitting,metavision,chartevents,Numeric,,,,,,,
14243,226096,228151,ZZZZ diastolic blood pressure,Orthostatic BPd standing,Routine Vital Signs,mmHg,Orthostatic BPd standing,metavision,chartevents,Numeric,,,,,,,
4911,8448,228151,ZZZZ diastolic blood pressure,PAP [Diastolic],,,,carevue,chartevents,,,,,,,,
12722,220060,228151,ZZZZ diastolic blood pressure,Pulmonary Artery Pressure diastolic,Hemodynamics,mmHg,PAPd,metavision,chartevents,Numeric,,,,,,,
15430,228641,228641,ZZZZ EtCO2,EtCO2 Clinical indication,Routine Vital Signs,,EtCO2 Clinical indication,metavision,,Text,,,,,,,
2047,5955,5955,ZZZZ fraction inspired o2,Analyzed INOV FiO2,,,,carevue,chartevents,,,,,,,,
1197,1040,5955,ZZZZ fraction inspired o2,BIpap FIO2,,,,carevue,chartevents,,,,,,,,
4473,7018,5955,ZZZZ fraction inspired o2,ecmo fio2,,,,carevue,chartevents,,,,,,,,
190,189,5955,ZZZZ fraction inspired o2,FiO2 (Analyzed),,,,carevue,chartevents,,,,,,,,
4968,8517,5955,ZZZZ fraction inspired o2,FIO2 Alarm [High],,,,carevue,chartevents,,,,,,,,
1020,3421,5955,ZZZZ fraction inspired o2,FIO2 Alarm [Low],,,,carevue,chartevents,,,,,,,,
186,185,5955,ZZZZ fraction inspired o2,FIO2 Alarm-High,,,,carevue,chartevents,,,,,,,,
187,186,5955,ZZZZ fraction inspired o2,FIO2 Alarm-Low,,,,carevue,chartevents,,,,,,,,
191,190,5955,ZZZZ fraction inspired o2,FiO2 Set,,,,carevue,chartevents,,,,,,,,
4700,7570,5955,ZZZZ fraction inspired o2,FIO2 SET,,,,carevue,chartevents,,,,,,,,
14687,227010,5955,ZZZZ fraction inspired o2,FiO2_ApacheIV,Scores - APACHE IV (2),%,FiO2_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14686,227009,5955,ZZZZ fraction inspired o2,FiO2_ApacheIV_old,Scores - APACHE IV (2),None,FiO2_ApacheIV_old,metavision,chartevents,Numeric,,,,,,,
192,191,5955,ZZZZ fraction inspired o2,FiO2/O2 Delivered,,,,carevue,chartevents,,,,,,,,
14515,226754,5955,ZZZZ fraction inspired o2,FiO2ApacheIIValue,Scores - APACHE II,%,FiO2ApacheIIValue,metavision,chartevents,Numeric,,,,,,,
1298,1206,5955,ZZZZ fraction inspired o2,HFO FIO2:,,,,carevue,chartevents,,,,,,,,
3612,2518,5955,ZZZZ fraction inspired o2,HFO- FIO2,,,,carevue,chartevents,,,,,,,,
3240,1863,5955,ZZZZ fraction inspired o2,HFO-FiO2,,,,carevue,chartevents,,,,,,,,
4487,7041,5955,ZZZZ fraction inspired o2,vapotherm fio2,,,,carevue,chartevents,,,,,,,,
676,727,5955,ZZZZ fraction inspired o2,Vision FiO2,,,,carevue,chartevents,,,,,,,,
12708,220739,220739,ZZZZ glasgow coma scale,GCS - Eye Opening,Neurological,,Eye Opening,metavision,,Text,,,,,,,
12828,223901,220739,ZZZZ glasgow coma scale,GCS - Motor Response,Neurological,,Motor Response,metavision,,Text,,,,,,,
12827,223900,220739,ZZZZ glasgow coma scale,GCS - Verbal Response,Neurological,,Verbal Response,metavision,,Text,,,,,,,
14516,226755,220739,ZZZZ glasgow coma scale,GcsApacheIIScore,Scores - APACHE II,None,GcsApacheIIScore,metavision,chartevents,Numeric,,,,,,,
14688,227011,220739,ZZZZ glasgow coma scale,GCSEye_ApacheIV,Scores - APACHE IV (2),,GCSEye_ApacheIV,metavision,,Text,,,,,,,
14517,226756,220739,ZZZZ glasgow coma scale,GCSEyeApacheIIValue,Scores - APACHE II,,GCSEyeApacheIIValue,metavision,,Text,,,,,,,
14689,227012,220739,ZZZZ glasgow coma scale,GCSMotor_ApacheIV,Scores - APACHE IV (2),,GCSMotor_ApacheIV,metavision,,Text,,,,,,,
14518,226757,220739,ZZZZ glasgow coma scale,GCSMotorApacheIIValue,Scores - APACHE II,,GCSMotorApacheIIValue,metavision,,Text,,,,,,,
14690,227013,220739,ZZZZ glasgow coma scale,GcsScore_ApacheIV,Scores - APACHE IV (2),None,GcsScore_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14691,227014,220739,ZZZZ glasgow coma scale,GCSVerbal_ApacheIV,Scores - APACHE IV (2),,GCSVerbal_ApacheIV,metavision,,Text,,,,,,,
14519,226758,220739,ZZZZ glasgow coma scale,GCSVerbalApacheIIValue,Scores - APACHE II,,GCSVerbalApacheIIValue,metavision,,Text,,,,,,,
15305,228112,220739,ZZZZ glasgow coma scale,GCSVerbalApacheIIValue (intubated),Scores - APACHE II,,GCSVerbalApacheIIValue (intubated),metavision,,Text,,,,,,,
15073,227977,227977,ZZZZ glucose,Boost Glucose Control (1/2),Nutrition - Enteral,mL,Boost Glucose Control (1/2),metavision,inputevents_mv,Solution,,,,,,,
15072,227976,227977,ZZZZ glucose,Boost Glucose Control (1/4),Nutrition - Enteral,mL,Boost Glucose Control (1/4),metavision,inputevents_mv,Solution,,,,,,,
15074,227978,227977,ZZZZ glucose,Boost Glucose Control (3/4),Nutrition - Enteral,mL,Boost Glucose Control (3/4),metavision,inputevents_mv,Solution,,,,,,,
15075,227979,227977,ZZZZ glucose,Boost Glucose Control (Full),Nutrition - Enteral,mL,Boost Glucose Control (Full),metavision,inputevents_mv,Solution,,,,,,,
1281,1189,227977,ZZZZ glucose,finger stick,,,,carevue,chartevents,,,,,,,,
3538,2416,227977,ZZZZ glucose,finger stick glucos.,,,,carevue,chartevents,,,,,,,,
3488,2338,227977,ZZZZ glucose,finger stick glucose,,,,carevue,chartevents,,,,,,,,
2691,5088,227977,ZZZZ glucose,fingers,,,,carevue,chartevents,,,,,,,,
3716,2681,227977,ZZZZ glucose,FINGERSTICK,,,,carevue,chartevents,,,,,,,,
4104,6278,227977,ZZZZ glucose,fingerstick,,,,carevue,chartevents,,,,,,,,
3226,1845,227977,ZZZZ glucose,fingerstick bs,,,,carevue,chartevents,,,,,,,,
726,807,227977,ZZZZ glucose,Fingerstick Glucose,Chemistry,,,carevue,chartevents,,,,,,,,
14,1455,227977,ZZZZ glucose,fingerstick glucose,,,,carevue,chartevents,,,,,,,,
1327,1310,227977,ZZZZ glucose,FINGERSTICK GLUCOSE.,,,,carevue,chartevents,,,,,,,,
730,811,227977,ZZZZ glucose,Glucose (70-105),Chemistry,,,carevue,chartevents,,,,,,,,
12699,220621,227977,ZZZZ glucose,Glucose (serum),Labs,None,Glucose (serum),metavision,chartevents,Numeric,,,,,,,
14406,226537,227977,ZZZZ glucose,Glucose (whole blood),Labs,None,Glucose (whole blood),metavision,chartevents,Numeric,,,,,,,
15516,228388,227977,ZZZZ glucose,Glucose (whole blood) (soft),Labs,None,Glucose (whole blood) (soft),metavision,chartevents,Numeric with tag,,,,,,,
1040,3447,227977,ZZZZ glucose,Glucose Monitor #,,,,carevue,chartevents,,,,,,,,
14692,227015,227977,ZZZZ glucose,Glucose_ApacheIV,Scores - APACHE IV (2),None,Glucose_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14693,227016,227977,ZZZZ glucose,GlucoseScore_ApacheIV,Scores - APACHE IV (2),None,GlucoseScore_ApacheIV,metavision,chartevents,Numeric,,,,,,,
2910,3816,227977,ZZZZ glucose,Urine Glucose,Urine,,,carevue,chartevents,,,,,,,,
15134,227923,227923,ZZZZ heart rate,Activity HR - Aerobic Activity Response,OT Notes,None,Activity HR - Aerobic Activity Response,metavision,chartevents,Numeric,,,,,,,
15173,227864,227923,ZZZZ heart rate,Activity HR - Aerobic Capacity,OT Notes,None,Activity HR - Aerobic Capacity,metavision,chartevents,Numeric,,,,,,,
4835,8372,227923,ZZZZ heart rate,Brachial Pulse [Left],,,,carevue,chartevents,,,,,,,,
86,81,227923,ZZZZ heart rate,Brachial Pulse [Right],,,,carevue,chartevents,,,,,,,,
13196,223944,227923,ZZZZ heart rate,Brachial Pulse L,Cardiovascular (Pulses),,Brachial Pulse L,metavision,,Text,,,,,,,
12854,223939,227923,ZZZZ heart rate,Brachial Pulse R,Cardiovascular (Pulses),,Brachial Pulse R,metavision,,Text,,,,,,,
4844,8381,227923,ZZZZ heart rate,Dorsal PedPulse [Left],,,,carevue,chartevents,,,,,,,,
157,156,227923,ZZZZ heart rate,Dorsal PedPulse [Right],,,,carevue,chartevents,,,,,,,,
12858,223943,227923,ZZZZ heart rate,Dorsal PedPulse L,Cardiovascular (Pulses),,Dorsal PedPulse L,metavision,,Text,,,,,,,
12850,223934,227923,ZZZZ heart rate,Dorsal PedPulse R,Cardiovascular (Pulses),,Dorsal PedPulse R,metavision,,Text,,,,,,,
4849,8386,227923,ZZZZ heart rate,Femoral Pulse [Left],,,,carevue,chartevents,,,,,,,,
189,188,227923,ZZZZ heart rate,Femoral Pulse [Right],,,,carevue,chartevents,,,,,,,,
13197,223945,227923,ZZZZ heart rate,Femoral Pulse L,Cardiovascular (Pulses),,Femoral Pulse L,metavision,,Text,,,,,,,
12855,223940,227923,ZZZZ heart rate,Femoral Pulse R,Cardiovascular (Pulses),,Femoral Pulse R,metavision,,Text,,,,,,,
4158,6347,227923,ZZZZ heart rate,femoral pulses,,,,carevue,chartevents,,,,,,,,
12713,220046,227923,ZZZZ heart rate,Heart rate Alarm - High,Alarms,bpm,HR Alarm - High,metavision,chartevents,Numeric,,,,,,,
12714,220047,227923,ZZZZ heart rate,Heart Rate Alarm - Low,Alarms,bpm,HR Alarm - Low,metavision,chartevents,Numeric,,,,,,,
12715,220048,227923,ZZZZ heart rate,Heart Rhythm,Routine Vital Signs,,Heart Rhythm,metavision,,Text,,,,,,,
213,212,227923,ZZZZ heart rate,Heart Rhythm,,,,carevue,chartevents,,,,,,,,
13322,224389,227923,ZZZZ heart rate,Heart Sounds,Cardiovascular,,Heart Sounds,metavision,,Text,,,,,,,
214,213,227923,ZZZZ heart rate,Heart Sounds,,,,carevue,chartevents,,,,,,,,
12849,223933,227923,ZZZZ heart rate,Heat Sounds,Cardiovascular (Pulses),,Heat Sounds,metavision,,Text,,,,,,,
13272,224721,227923,ZZZZ heart rate,HR > 140,Respiratory,,HR > 140,metavision,,Text,,,,,,,
4969,8518,227923,ZZZZ heart rate,HR Alarm [High],,,,carevue,chartevents,,,,,,,,
4993,8549,227923,ZZZZ heart rate,HR Alarm [High],,,,carevue,chartevents,,,,,,,,
1043,3450,227923,ZZZZ heart rate,HR Alarm [Low],,,,carevue,chartevents,,,,,,,,
1918,5815,227923,ZZZZ heart rate,HR Alarm [Low],,,,carevue,chartevents,,,,,,,,
14695,227018,227923,ZZZZ heart rate,HR_ApacheIV,Scores - APACHE IV (2),bpm,HR_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14524,226763,227923,ZZZZ heart rate,HrApacheIIScore,Scores - APACHE II,None,HrApacheIIScore,metavision,chartevents,Numeric,,,,,,,
14525,226764,227923,ZZZZ heart rate,HrApacheIIValue,Scores - APACHE II,bpm,HrApacheIIValue,metavision,chartevents,Numeric,,,,,,,
14696,227019,227923,ZZZZ heart rate,HrScore_ApacheIV,Scores - APACHE IV (2),None,HrScore_ApacheIV,metavision,chartevents,Numeric,,,,,,,
14697,227020,227923,ZZZZ heart rate,HtScore_ApacheIV,Scores - APACHE IV (2),None,HtScore_ApacheIV,metavision,chartevents,Numeric,,,,,,,
443,481,227923,ZZZZ heart rate,Orthostat HR sitting,,,,carevue,chartevents,,,,,,,,
445,483,227923,ZZZZ heart rate,OrthostatHR standing,,,,carevue,chartevents,,,,,,,,
12760,223764,227923,ZZZZ heart rate,Orthostatic HR lying,Routine Vital Signs,bpm,Orthostatic HR lying,metavision,chartevents,Numeric,,,,,,,
447,485,227923,ZZZZ heart rate,Orthostatic HR lying,,,,carevue,chartevents,,,,,,,,
12761,223765,227923,ZZZZ heart rate,Orthostatic HR sitting,Routine Vital Signs,bpm,Orthostatic HR sitting,metavision,chartevents,Numeric,,,,,,,
13427,224647,227923,ZZZZ heart rate,Orthostatic HR standing,Routine Vital Signs,bpm,Orthostatic HR standing,metavision,chartevents,Numeric,,,,,,,
4918,8455,227923,ZZZZ heart rate,Popliteal Pulse [Left],,,,carevue,chartevents,,,,,,,,
503,546,227923,ZZZZ heart rate,Popliteal Pulse [Right],,,,carevue,chartevents,,,,,,,,
13198,223946,227923,ZZZZ heart rate,Popliteal Pulse L,Cardiovascular (Pulses),,Popliteal Pulse L,metavision,,Text,,,,,,,
12856,223941,227923,ZZZZ heart rate,Popliteal Pulse R,Cardiovascular (Pulses),,Popliteal Pulse R,metavision,,Text,,,,,,,
15,1456,227923,ZZZZ heart rate,popliteal pulse r/l,,,,carevue,chartevents,,,,,,,,
4919,8456,227923,ZZZZ heart rate,PostTib. Pulses [Left],,,,carevue,chartevents,,,,,,,,
506,549,227923,ZZZZ heart rate,PostTib. Pulses [Right],,,,carevue,chartevents,,,,,,,,
13199,223947,227923,ZZZZ heart rate,PostTib. Pulses L,Cardiovascular (Pulses),,PostTib Pulses L,metavision,,Text,,,,,,,
12851,223935,227923,ZZZZ heart rate,PostTib. Pulses R,Cardiovascular (Pulses),,PostTib Pulses R,metavision,,Text,,,,,,,
1346,1332,227923,ZZZZ heart rate,pulse,,,,carevue,chartevents,,,,,,,,
1355,1341,227923,ZZZZ heart rate,PULSE,,,,carevue,chartevents,,,,,,,,
3171,1725,227923,ZZZZ heart rate,Pulse,,,,carevue,chartevents,,,,,,,,
540,583,227923,ZZZZ heart rate,Pulses Paradoxus,,,,carevue,chartevents,,,,,,,,
13067,224192,227923,ZZZZ heart rate,Pulsus Paradoxus,Routine Vital Signs,None,Pulsus Paradoxus,metavision,chartevents,Numeric,,,,,,,
4936,8473,227923,ZZZZ heart rate,Radial Pulse [Left],,,,carevue,chartevents,,,,,,,,
560,603,227923,ZZZZ heart rate,Radial Pulse [Right],,,,carevue,chartevents,,,,,,,,
13200,223948,227923,ZZZZ heart rate,Radial Pulse L,Cardiovascular (Pulses),,Radial Pulse L,metavision,,Text,,,,,,,
12852,223936,227923,ZZZZ heart rate,Radial Pulse R,Cardiovascular (Pulses),,Radial Pulse R,metavision,,Text,,,,,,,
15138,227930,227923,ZZZZ heart rate,Recovery HR - Aerobic Activity Response,OT Notes,None,Recovery HR - Aerobic Activity Response,metavision,chartevents,Numeric,,,,,,,
15176,227870,227923,ZZZZ heart rate,Recovery HR - Aerobic Capacity,OT Notes,None,Recovery HR - Aerobic Capacity,metavision,chartevents,Numeric,,,,,,,
15130,227916,227923,ZZZZ heart rate,Rest HR -  Aerobic Activity Response,OT Notes,None,Rest HR -  Aerobic Activity Response,metavision,chartevents,Numeric,,,,,,,
15170,227858,227923,ZZZZ heart rate,Rest HR - Aerobic Capacity,OT Notes,None,Rest HR - Aerobic Capacity,metavision,chartevents,Numeric,,,,,,,
